Whiskey,Percent.whiskey,Rep,Style,"1-Butanol, 2-methyl-, acetate","1-Butanol, 3-methyl-, acetate","Acetic acid, 2-phenylethyl ester",Lauryl acetate,Ethyl Acetate,"Acetic acid, decyl ester",1-Tetradecyl acetate,"Farnesol, acetate","Acetic acid, hexyl ester","Acetic acid, heptyl ester"
Peat Monster,50,1,BS,468120.8807,3220913.447,1899523.368,45895.05627,4423385.448,151557.5976,63150.9766,49544.84981,109428.3817,21252.40758
Peat Monster,50,2,BS,371792.9523,2611294.724,1605788.75,30702.29775,3574433.49,102271.5288,39582.74931,30429.97269,84301.27187,15235.50142
Peat Monster,50,3,BS,296067.169,2105811.086,1523752.673,33426.23733,2775781.726,85910.62276,51122.6301,39113.5573,68026.08741,12676.13109
Peat Monster,60,1,BS,435890.8287,3084734.334,1583184.868,43143.29873,4810833.937,123980.8464,57324.14038,39366.12288,96369.52638,17186.81319
Peat Monster,60,2,BS,126331.5668,1191103.302,1142296.814,31583.87376,4006825.72,82038.10612,37961.25655,30140.26532,65612.78418,12530.52095
Peat Monster,60,3,BS,292129.1739,2160373.402,1298517.029,44017.11062,2933397.186,96632.20367,54809.80724,41761.59154,67758.06292,12694.58235
Peat Monster,70,1,BS,386240.965,2725822.28,1257950.496,38434.63407,4610374.025,91671.0281,39243.69379,26701.93837,81453.66428,13237.02258
Peat Monster,70,2,BS,277819.6817,1922112.194,968110.5044,30923.8294,3728899.248,57317.07262,40243.68491,20645.58388,52020.05569,7780.230265
Peat Monster,70,3,BS,241345.6335,1798365.738,1086520.796,36582.00239,2910363.017,63482.96031,56415.16382,24284.53775,52131.94305,9077.964872
Peat Monster,80,1,BS,353529.2735,2556625.585,1119069.773,31390.36112,5088065.307,53070.64322,50172.38972,17913.68098,66921.1188,10638.69996
Peat Monster,80,2,BS,240446.7248,1677878.593,936818.0765,25266.46591,3509739.503,37163.78962,43981.29423,11953.28642,46571.35098,6857.159524
Peat Monster,80,3,BS,84258.68486,760641.8225,674549.3179,20507.51429,3263177.946,26900.62891,41177.30162,10804.39584,33542.85392,5554.768896
Peat Monster,90,1,BS,300115.0577,2171710.44,835473.9166,14559.20551,5578974.971,24088.84254,32537.29841,9178.324323,56134.74251,8175.086683
Peat Monster,90,2,BS,217582.9619,1572904.929,688469.4667,13425.35388,4022854.002,20464.00312,41036.73742,8027.016727,40388.86841,5194.977349
Peat Monster,90,3,BS,171853.9269,1263954.012,616152.6359,13825.32404,3070931.701,18923.77351,40601.79446,4868.45927,32727.34045,4865.767881
Peat Monster,100,1,BS,232657.4425,1619177.74,614246.9548,5572.492512,4999232.405,11345.51026,11255.04575,3404.318801,40487.49391,4937.001694
Peat Monster,100,2,BS,175095.9221,1221642.757,621683.089,7249.325685,3800165.043,12879.12743,15182.81573,4762.00861,32321.89479,4579.370246
