Whiskey,Percent.whiskey,Rep,Style,1-Propanol,"1-Propanol, 2-methyl-",1-Butanol,"1-Butanol, 3-methyl-",1-Decanol,(Z)-4-Decen-1-ol,Phenylethyl Alcohol,1-Dodecanol,1-Tetradecanol,Octanoic acid,n-Decanoic acid,1-Hexadecanol,Dodecanoic acid
Peat Monster,50,1,BS,118466.9519,1032583.731,45438.8956,6327830.7,208279.606,3745.254993,1040063.422,234378.5263,566256.474,474263.6054,1285800.071,173704.0747,254253.9758
Peat Monster,50,2,BS,100602.3693,872089.4754,38876.16362,5243575.048,159052.2374,2377.282567,856790.4833,160670.7663,498764.2671,349346.4715,804254.4485,199443.1072,145393.3448
Peat Monster,50,3,BS,78240.8296,682490.8786,30406.10851,4299881.83,157153.9843,2123.278484,650245.6349,192595.4537,500609.4433,339794.0808,734407.3542,199429.964,119882.2041
Peat Monster,60,1,BS,136685.7836,1329111.242,46973.97456,7051666.183,125042.9136,2703.666513,1227227.053,132265.4887,464953.7113,289475.8196,606621.2511,197668.091,148542.9179
Peat Monster,60,2,BS,196669.9365,700627.8119,52423.70957,6476464.343,91628.03388,1921.880736,984880.397,123073.9775,464914.2162,249593.3632,584306.0931,186935.5137,97215.15717
Peat Monster,60,3,BS,48016.11323,732586.8889,24723.11533,4349351.906,114368.6458,1853.879912,728510.1046,160194.6127,525932.5245,268126.6066,556238.2376,226367.6505,120826.6816
Peat Monster,70,1,BS,140006.4741,1408517.942,48584.05818,7156151.247,67230.7745,1762.589223,1447114.383,62539.36598,322813.8775,185534.3618,306331.5674,167341.1333,72973.31432
Peat Monster,70,2,BS,211725.0169,821021.8929,49027.43286,6373093.424,46316.05491,1144.830847,872666.5015,43609.79174,260028.1483,96080.57992,132641.2981,160235.7295,37083.34554
Peat Monster,70,3,BS,55265.61672,816292.0959,27624.15431,4615303.642,60754.84039,1342.778496,486781.1728,57516.49795,487212.4704,71615.24179,80950.0652,327691.8921,29907.41985
Peat Monster,80,1,BS,123289.6872,1502439.643,49340.54924,7364264.429,38326.42452,955.2981387,996761.4517,24049.20707,159285.9386,63817.81143,71384.64952,157696.7881,18963.02937
