Whiskey,Percent.whiskey,Rep,Style,o-Xylene,p-Xylene,Mesitylene,Furfural,Benzofuran,Benzaldehyde,"2-Furancarboxaldehyde, 5-methyl-",Benzonitrile,"Benzofuran, 2-methyl-",Naphthalene,"1H-Indene, 1-ethylidene-",trans-3-Methyl-4-octanolide,"Phenol, 2-methyl-","Phenol, 4-ethyl-2-methoxy-",Mesitylene,"Phenol, 3,4-dimethyl-","Phenol, 3-ethyl-5-methyl-","Phenol, 3-ethyl-",Dibenzofuran
Peat Monster,50,1,BS,56616.01582,26899.80189,111199.2198,2019323.331,39010.71658,35962.45008,10006.43352,88840.40406,142834.4254,3698891.744,221970.5255,24043.1559,373289.3823,66500.12348,93974.01548,192155.1841,57945.65465,146418.5266,34650.55198
Peat Monster,50,2,BS,37689.71658,19342.3799,79528.72641,1489781.936,55202.62435,71095.97819,13953.85466,73765.55219,106037.0322,2919098.268,195534.182,18377.28806,301487.217,79670.17145,64504.61073,193079.5842,45241.83869,100355.4994,32332.23658
Peat Monster,50,3,BS,27102.96636,14027.49813,61495.23822,1244689.341,62932.99388,115478.8383,16542.82709,62917.41687,85545.97098,2374539.352,162796.2137,16783.64812,262558.4507,98862.1797,48750.54969,207832.066,43729.34576,53151.35767,30052.01392
Peat Monster,60,1,BS,52978.01991,25071.28381,106527.0891,2062874.593,30178.96897,30335.78445,9524.965592,82750.29216,120441.7733,3022320.812,171515.3801,21148.32243,339417.5236,49699.10968,90221.67564,157669.7039,43576.3028,122518.0035,24355.98346
Peat Monster,60,2,BS,37885.63514,18285.97974,76764.94275,1538023.313,71743.42579,92384.3412,14120.01577,66976.26172,86471.96578,2124804.045,128480.8473,17122.30251,278693.2852,66754.38032,58370.99884,168185.18,36593.27662,91574.59853,19895.37604
Peat Monster,60,3,BS,34144.71487,9479.334837,73690.92632,1345160.231,45899.67195,87160.52109,15103.17419,65324.769,87358.83391,2184440.425,136160.2018,16049.08017,254082.5193,83517.03577,58579.19947,179463.4715,36819.61547,50467.17615,20897.12386
Peat Monster,70,1,BS,49397.18276,24405.64028,101942.0322,2151562.038,23572.239,25349.68575,8397.692,73497.65327,95331.53515,2150544.669,107063.9955,19102.08624,317779.6856,38317.71811,85614.56986,139530.565,32530.53019,103762.8219,14207.47203
Peat Monster,70,2,BS,30307.3256,15351.86654,65041.96876,1514783.71,56204.31422,82708.95667,12769.90303,60611.93833,67225.55254,1701382.737,102197.5797,11800.18925,223683.5383,41904.45402,50737.56471,124512.2685,21957.77107,59069.06316,16245.43447
Peat Monster,70,3,BS,25479.1552,2235.769082,59308.92464,1342522.847,37734.53522,81551.71314,14562.96926,60482.6586,70095.53296,1769614.78,109651.6044,9622.999635,191382.5729,50884.82834,45796.52035,120381.4085,19748.26408,26108.1553,17421.71864
Peat Monster,80,1,BS,47527.14621,3018.657283,94123.22586,2194926.965,10487.02424,16591.20903,8111.482567,65705.21706,77746.33792,1752789.924,85457.30026,13307.66423,256357.4557,28276.34901,75518.78128,105393.7444,21060.78056,65160.89127,12412.62999
