Whiskey,Percent.whiskey,Rep,Style,"Butanoic acid, ethyl ester","Butanoic acid, 3-methyl-, ethyl ester","Pentanoic acid, ethyl ester","Hexanoic acid, ethyl ester","Heptanoic acid, ethyl ester","Octanoic acid, ethyl ester",Isopentyl hexanoate,"Nonanoic acid, ethyl ester","Decanoic acid, ethyl ester","Octanoic acid, 3-methylbutyl ester","Butanedioic acid, diethyl ester",n-Capric acid isobutyl ester,"Dodecanoic acid, ethyl ester","Pentadecanoic acid, 3-methylbutyl ester",Isobutyl laurate,"Tetradecanoic acid, ethyl ester",Isoamyl laurate,"Hexadecanoic acid, ethyl ester"
Peat Monster,50,1,BS,162355.0457,132186.5831,37582.05704,3452240.298,611843.0159,50197616.19,264023.8419,1640666.229,61928669.86,2079206.446,61389.00212,310286.9808,25009696.21,1664007.268,26310.83476,1261630.775,110503.3086,913552.1574
Peat Monster,50,2,BS,137389.0279,110944.3567,30546.97323,2781280.997,462703.5288,37781154.04,186120.6024,1131137.438,46022421.69,1427865.822,71295.01072,212475.846,18136077.6,1110662.116,16030.84101,771826.4243,64927.91491,640031.732
Peat Monster,50,3,BS,110260.5926,88338.1691,24355.34846,2256976.724,370814.9172,30650075.02,150560.3928,899824.9361,38098077.99,1211056.109,73430.34577,203676.2941,16980504.63,1240292.604,22479.84719,1038597.097,89756.21314,648980.0083
Peat Monster,60,1,BS,168859.234,128298.4478,37142.19332,2912161.241,512344.9695,44611972.5,208987.6166,1250336.346,57454382.79,1908847.082,63525.52201,309821.6789,24658068.11,1670456.349,25389.97134,1189219.247,112273.6337,1114719.343
Peat Monster,60,2,BS,130534.5395,92076.06693,28180.9217,1997989.222,349004.7267,33474955.63,136610.5569,871238.1462,43724568.33,1294645.464,76326.33752,220497.8403,18944698.94,1192324.182,16513.10968,759134.4719,59436.41414,574733.534
Peat Monster,60,3,BS,116893.3931,90978.85363,20911.23665,2246531.857,370259.4751,30093165.65,154389.8284,933102.0367,39901382.8,1493016.443,69860.80243,279373.6194,20014200.87,1666567.106,27872.7515,1183245.82,96679.01361,606728.2935
Peat Monster,70,1,BS,155965.1484,111522.7534,32396.41297,2441785.32,409268.9822,38921305.91,162213.2146,934823.7868,52220713.96,1757911.313,67479.40528,318335.7125,24356788.22,1722095.322,21224.14525,891599.6532,72789.38732,677242.8005
Peat Monster,70,2,BS,117551.521,79840.93492,22568.68763,1567595.223,261814.0545,27564161.33,98922.41475,596187.4597,37663782.6,1129488.631,69376.40728,224018.8852,19172660.3,1371811.608,18725.98443,886460.3445,74922.92044,707361.2924
Peat Monster,70,3,BS,107625.8495,78056.50438,7034.022003,1740630.636,269039.6745,25209153.14,106219.3172,619653.0764,34362265.79,1195814.235,59913.78724,248326.6498,18706216.13,1549139.999,26339.29354,1163742.71,100877.1061,995186.992
Peat Monster,80,1,BS,161323.0623,107784.3314,11238.94256,2138995.538,321519.8774,32049816.18,108994.8171,593086.156,42092058.77,1236825.501,55912.24339,269153.2469,22177602.42,1866655.075,28281.41137,1181075.53,111851.2756,844912.9411
