Whiskey,Percent.whiskey,Rep,Style,D-Limonene,"1,6,10-Dodecatrien-3-ol, 3,7,11-trimethyl-, [S-(Z)]-",o-Cymene
Peat Monster,50,1,BS,1764960.493,59215.17887,87439.83091
Peat Monster,50,2,BS,1001802.609,40507.18027,60663.42081
Peat Monster,50,3,BS,527630.2851,53240.17416,46197.17252
Peat Monster,60,1,BS,55486.71463,35074.05752,31158.74446
Peat Monster,60,2,BS,1002.719086,32452.31024,26763.03956
Peat Monster,60,3,BS,43652.76936,45116.11497,23562.06716
Peat Monster,70,1,BS,57093.18061,18774.50205,29870.97596
Peat Monster,70,2,BS,0,13666.6372,18043.22446
Peat Monster,70,3,BS,28279.57725,17032.10035,16270.80729
Peat Monster,80,1,BS,382705.1984,8811.169033,34633.34026
Peat Monster,80,2,BS,237640.0924,6200.968213,22621.10489
Peat Monster,80,3,BS,367.2678309,5244.383823,16774.66898
Peat Monster,90,1,BS,146622.9668,3604.745945,23308.42372
Peat Monster,90,2,BS,102241.7101,2764.115911,16277.93688
Peat Monster,90,3,BS,82244.53084,1160.515046,13533.28622
Peat Monster,100,1,BS,35601.64583,572.8465991,14120.03633
Peat Monster,100,2,BS,32579.78597,1672.969411,12796.88563
Peat Monster,100,3,BS,22830.08261,0,9489.186755
Aberlour 12,50,1,SM,0,41146.6169,24373.10766
Aberlour 12,50,2,SM,9531.605718,46090.40869,30618.4056
Aberlour 12,50,3,SM,0,37839.23999,25998.0332
Aberlour 12,60,1,SM,9652.231871,32211.44248,29907.16581
Aberlour 12,60,2,SM,0,26519.96544,24969.41924
Aberlour 12,60,3,SM,2733.78291,29632.29054,26132.25302
Aberlour 12,70,1,SM,13728.55962,21762.66574,33754.76679
Aberlour 12,70,2,SM,0,14814.60569,28894.41288
Aberlour 12,70,3,SM,7914.197964,16359.77048,28511.64572
Aberlour 12,80,1,SM,12145.73748,6636.969151,27130.45558
Aberlour 12,80,2,SM,0,5755.847458,22032.74697
Aberlour 12,80,3,SM,3272.532906,6933.322227,24389.18175
Aberlour 12,90,1,SM,0,1954.318164,18219.90575
Aberlour 12,90,2,SM,0,1861.989832,17155.92022
Aberlour 12,90,3,SM,0,1341.228293,19897.97434
Aberlour 12,100,1,SM,0,0,15917.3086
Aberlour 12,100,2,SM,0,0,16013.94938
Aberlour 12,100,3,SM,608.5086405,0,13969.88584
Basil Hayden's,50,1,BU,0,1872.327866,22415.80062
Basil Hayden's,50,2,BU,314.0660698,1682.374992,18015.88314
Basil Hayden's,50,3,BU,27338.81241,2498.909295,28262.74988
Basil Hayden's,60,1,BU,24109.84943,1469.856132,21714.26269
Basil Hayden's,60,2,BU,15751.11052,1043.497445,20913.94875
Basil Hayden's,60,3,BU,22579.14099,1286.327675,19619.09348
Basil Hayden's,70,1,BU,29715.04954,0,24563.98409
Basil Hayden's,70,2,BU,0,0,17640.87339
Basil Hayden's,70,3,BU,28976.17393,636.4665352,25208.29411
Basil Hayden's,80,1,BU,1577.411488,0,19581.93041
Basil Hayden's,80,2,BU,449.2060827,0,16175.30613
Basil Hayden's,80,3,BU,25366.60904,0,19738.62348
Basil Hayden's,90,1,BU,21570.79212,0,15150.47452
Basil Hayden's,90,2,BU,0,0,14782.44667
Basil Hayden's,90,3,BU,316.7102275,0,15035.07106
Basil Hayden's,100,1,BU,18416.72405,0,12264.96259
Basil Hayden's,100,2,BU,17715.27075,0,12258.30214
Basil Hayden's,100,3,BU,114440.713,0,14763.83382
Black Bottle,50,1,BS,3574.240612,12713.09717,1730.705457
Black Bottle,50,2,BS,0,10292.51742,1373.106284
Black Bottle,50,3,BS,3332.257356,9813.128931,1592.792618
Black Bottle,60,1,BS,2295.87044,9226.552643,1256.341952
Black Bottle,60,2,BS,2900.300527,7250.010769,1239.136487
Black Bottle,60,3,BS,0,6385.544219,1151.849972
Black Bottle,70,1,BS,0,2125.741632,2745.393078
Black Bottle,70,2,BS,0,2911.783621,3086.381189
Black Bottle,70,3,BS,0,2684.885505,2733.071611
Black Bottle,80,1,BS,14671.18297,834.6443198,2865.208551
Black Bottle,80,2,BS,15939.38287,507.8592435,3314.102491
Black Bottle,80,3,BS,14442.18849,665.473715,2942.043386
Black Bottle,90,1,BS,0,0,2084.617143
Black Bottle,90,2,BS,13015.08066,0,2333.359381
Black Bottle,90,3,BS,5412.189127,0,2129.703442
Black Bottle,100,1,BS,11854.14365,0,1855.604691
Black Bottle,100,2,BS,12159.21543,0,1869.743001
Black Bottle,100,3,BS,0,0,1675.87119
Bulleit,50,1,RW,495070.3677,4091.369773,39445.9276
Bulleit,50,2,RW,566487.0418,3809.534428,42725.22684
Bulleit,50,3,RW,540558.6261,3098.918012,40542.4236
Bulleit,60,1,RW,455646.0552,2026.867099,33720.78892
Bulleit,60,2,RW,500653.9928,1708.157663,35294.81441
Bulleit,60,3,RW,523492.9423,1584.883097,35731.7332
Bulleit,70,1,RW,413838.7554,302.5735615,27136.92643
Bulleit,70,2,RW,402113.6275,253.100535,26169.73639
Bulleit,70,3,RW,433282.1619,638.2530513,28088.55234
Bulleit,80,1,RW,305081.0781,0,18519.01027
Bulleit,80,2,RW,313849.0337,0,18941.8417
Bulleit,80,3,RW,293818.5601,0,18218.66912
Bulleit,90,1,RW,147851.6833,0,9993.737785
Bulleit,90,2,RW,149021.8617,0,10155.81706
Bulleit,90,3,RW,143373.0963,0,9756.723184
Bulleit,100,1,RW,108855.5074,0,7061.145879
Bulleit,100,2,RW,105347.6528,0,6645.852344
Bulleit,100,3,RW,111272.3256,0,7090.273346
Bunnahabhain,50,1,SM,4810.972857,16848.68093,9472.066714
Bunnahabhain,50,2,SM,4047.22797,14495.115,8793.480922
Bunnahabhain,50,3,SM,5107.426973,14207.58335,9797.578313
Bunnahabhain,60,1,SM,4190.554875,9531.440575,7970.261362
Bunnahabhain,60,2,SM,4001.346551,9733.079432,7849.164724
Bunnahabhain,60,3,SM,3671.932489,10007.7412,7581.010714
Bunnahabhain,70,1,SM,3253.630529,4978.970684,5910.409396
Bunnahabhain,70,2,SM,3697.193516,3870.299065,6559.220082
Bunnahabhain,70,3,SM,3602.042121,5195.492665,6330.043944
Bunnahabhain,80,1,SM,3733.539642,1285.293765,5240.974321
Bunnahabhain,80,2,SM,3334.854337,1089.577759,5119.350255
Bunnahabhain,80,3,SM,3777.89783,1484.278188,5118.777253
Bunnahabhain,90,1,SM,2029.05672,0,3070.041683
Bunnahabhain,90,2,SM,2179.017237,0,3109.678042
Bunnahabhain,90,3,SM,2011.251813,0,2985.995369
Bunnahabhain,100,1,SM,1245.285588,0,2107.206856
Bunnahabhain,100,2,SM,1345.944826,0,2066.200858
Bunnahabhain,100,3,SM,1476.908864,0,2229.353187
Bushmills,50,1,IW,6429.083677,5066.677282,2216.487679
Bushmills,50,2,IW,4459.419523,3923.359388,1847.101669
Bushmills,50,3,IW,6466.116345,5921.210937,2209.010906
Bushmills,60,1,IW,5442.805651,3919.06629,1672.19615
Bushmills,60,2,IW,0,1819.38508,1316.537277
Bushmills,60,3,IW,5419.75156,3976.864458,1769.710624
Bushmills,70,1,IW,6971.710161,1007.118903,1855.967067
Bushmills,70,2,IW,6648.39011,763.7799449,1852.662149
Bushmills,70,3,IW,0,391.2332588,1579.663709
