Whiskey,Percent.whiskey,Rep,Style,"8-Nonenoic acid, ethyl ester",Ethyl trans-4-decenoate,Ethyl 9-decenoate,"Benzeneacetic acid, ethyl ester","10-Undecenoic acid, ethyl ester","Benzenepropanoic acid, ethyl ester",Ethyl 9-hexadecenoate,"Oxalic acid, decyl 2-phenylethyl ester"
Peat Monster,50,1,BS,168746.4855,276519.7923,142469.2815,813.5885517,34766.66182,6385.327713,739483.0281,104128.446
Peat Monster,50,2,BS,121790.6276,164277.1659,99231.82944,1264.989746,24437.2009,13266.19803,458914.2924,64914.40074
Peat Monster,50,3,BS,99274.74747,109410.358,82288.14553,4536.622516,22110.49775,26220.8513,496622.8115,65871.05373
Peat Monster,60,1,BS,122197.3471,212370.1631,100685.0204,881.6508447,27716.80314,4738.587072,771307.8272,101859.2234
Peat Monster,60,2,BS,87229.91791,117439.2057,62228.03892,1549.279286,20246.05217,15360.59608,416467.0959,58906.28144
Peat Monster,60,3,BS,94805.47193,143991.8791,82073.53526,1351.631293,24657.20121,17091.22906,484378.0451,55915.1485
Peat Monster,70,1,BS,87222.97337,154325.3363,64999.56386,1087.033991,19664.50541,3598.986727,499430.2348,68982.40187
Peat Monster,70,2,BS,57853.54539,87184.31686,40279.93348,1077.151834,13714.27213,11318.32229,473500.5984,58558.87519
Peat Monster,70,3,BS,63156.11805,90730.25096,49153.61458,1458.539785,15487.78571,15240.64585,508123.381,53798.43023
Peat Monster,80,1,BS,61201.9515,96842.18026,36710.30073,817.0020384,12261.18959,2900.452461,577034.7171,57372.04408
Peat Monster,80,2,BS,40695.31624,53257.01125,24299.99984,679.2091829,8621.31295,7156.939798,420557.4849,37775.22228
Peat Monster,80,3,BS,31295.16383,48747.04569,16673.14168,4272.078197,6415.657917,15015.24253,394329.0901,41040.62288
Peat Monster,90,1,BS,36361.59901,47254.6445,13797.53006,0,5557.006242,2274.350837,475211.908,37175.83171
Peat Monster,90,2,BS,30038.67841,35890.92431,12783.62841,508.6807827,4444.353353,4922.191693,523580.0312,39569.75328
Peat Monster,90,3,BS,26644.05861,25914.27485,12443.47701,1167.245161,4285.88511,8397.903856,387904.8534,23687.55106
Peat Monster,100,1,BS,23583.86586,28783.78517,4902.222297,0,2272.566717,1908.011728,162475.0631,13408.69317
Peat Monster,100,2,BS,23296.87431,23078.72579,7047.866372,0,2769.005784,4153.096048,225342.2263,19026.64188
