Whiskey,Percent.whiskey,Rep,Style,2-Methoxy-N-methylethylamine,Pentane,Octane,"Propanoic acid, 2,2-dimethyl-, octyl ester","Undecane, 2,6-dimethyl-",Toluene,"1,1,6,6-Tetramethylspiro[4.4]nonane",Pentadecane,"1-Decanol, 2-hexyl-",Benzo[c]thiophene,"Cyclopentane, 1-ethenyl-3-ethyl-2-methyl-"
Peat Monster,50,1,BS,113914.8553,11617.81468,964.6421227,1900.59902,2354.901224,290259.8283,2957.219335,5421.789676,9778.20646,183419.3204,3626.171363
Peat Monster,50,2,BS,85656.34129,7936.597551,636.3499856,1340.943581,1146.71391,197971.2771,1817.408813,3651.473655,7245.756655,121922.2099,2106.059094
Peat Monster,50,3,BS,81881.61268,6171.985536,164.8689346,400.4932276,613.3991129,143028.2751,1152.889151,5853.957875,6200.876552,64261.9689,2614.450569
Peat Monster,60,1,BS,119950.4845,11579.93735,949.6861726,2686.6734,3457.402282,279191.9514,3197.291182,4743.214316,6588.290373,151020.3049,3251.604553
Peat Monster,60,2,BS,90762.16776,9811.784457,1013.496068,1582.740855,1660.044554,199623.3457,1592.334669,3965.717194,3928.093358,76749.5113,2464.357951
Peat Monster,60,3,BS,82395.24888,7553.898667,369.918983,1404.84437,1249.772048,174021.6441,828.5165447,3351.183412,6543.535076,84028.16255,3062.626224
Peat Monster,70,1,BS,129024.2377,10882.68212,832.4070612,3323.294891,5883.292216,237276.7659,3916.326378,5695.816491,4045.22148,116517.9518,2613.361687
Peat Monster,70,2,BS,89138.26671,7051.895606,587.8634947,1639.443415,1099.827041,148192.3749,1771.814685,3834.143618,2622.189522,65506.83405,1696.014763
Peat Monster,70,3,BS,78168.28053,7098.900266,404.8270129,1973.2499,1578.344574,113214.6053,1121.932521,3016.874541,3785.109015,65667.17061,2205.275111
Peat Monster,80,1,BS,123115.8757,12279.3374,1128.651061,4851.500384,6345.837865,245088.3045,4822.108678,4522.637331,3044.852787,93481.18838,1984.526949
Peat Monster,80,2,BS,91865.7318,7967.598304,776.8982018,2129.600159,2552.022612,156152.8285,3058.594745,3352.286208,1314.988418,56960.3708,1416.178218
Peat Monster,80,3,BS,93195.2989,6836.636618,444.2398061,827.6178216,1687.555305,118933.7099,475.3815115,3204.321305,1315.484693,21260.7554,1306.329773
Peat Monster,90,1,BS,138566.9749,11628.72889,1164.781507,5462.242534,7311.952842,236852.0666,7868.24389,14627.2818,5020.41805,65422.57271,1307.120099
Peat Monster,90,2,BS,96102.86921,8435.973905,912.624042,3236.51783,4046.262618,165296.2537,4818.767291,10405.55097,3961.754791,51336.64779,912.4873802
Peat Monster,90,3,BS,79433.44623,7160.47788,531.0800635,3352.30141,2302.721019,132027.9025,3127.521345,9825.05758,4153.922722,34475.40007,673.4290547
Peat Monster,100,1,BS,119680.8891,12319.15999,1049.414949,4819.195215,6722.848762,210425.7305,3662.039086,10812.80558,3754.086032,51080.46748,705.200489
Peat Monster,100,2,BS,97619.38337,9816.765024,963.9338391,4624.078103,4295.128073,151876.8696,2826.269906,11373.3978,5502.155987,42362.1439,858.785748
Peat Monster,100,3,BS,81124.19605,7321.969838,1139.069953,7090.579056,6594.800002,126934.6718,1570.472362,6724.993512,2419.119058,24282.20824,430.7289672
Aberlour 12,50,1,SM,69591.27964,4158.813189,108.6793103,0,73.5567449,3881.990433,0,1192.906871,2366.331682,0,1318.51278
Aberlour 12,50,2,SM,78259.25687,4185.638067,0,167.8339684,83.29322667,4476.605151,0,914.4524524,4792.883732,0,1715.667153
Aberlour 12,50,3,SM,68647.06758,3865.344719,0,0,0,3992.646059,0,1703.667401,3004.064799,0,1617.273259
Aberlour 12,60,1,SM,88590.27802,4554.744,0,382.4967097,120.1497554,4820.913651,0,816.9221311,3712.055746,0,1452.588127
Aberlour 12,60,2,SM,75687.27724,4314.331889,0,0,136.9903374,4401.969179,0,964.4731519,2074.54577,0,1463.804514
Aberlour 12,60,3,SM,74323.22043,4090.817559,92.44528996,0,104.8567082,4509.430388,0,1169.11085,2430.52748,0,1370.555534
Aberlour 12,70,1,SM,83091.50464,4250.080454,203.1031236,310.7069773,246.695271,5686.752564,0,935.8175805,2371.706215,0,2009.297882
Aberlour 12,70,2,SM,89514.1774,4239.201879,158.1914436,362.6189859,286.2430097,5518.93991,0,1235.011839,1161.069184,0,1428.110602
Aberlour 12,70,3,SM,83597.19153,4165.362839,172.8351952,0,322.4807999,5394.123884,0,1091.113031,1088.778949,0,1437.130872
Aberlour 12,80,1,SM,102140.0222,4240.268576,124.1979587,552.5727089,245.1554655,5066.521384,156.1401091,1076.15049,990.3753387,0,1717.761155
Aberlour 12,80,2,SM,86963.51299,4335.402952,113.5429097,0,205.2386729,4470.288414,0,961.2111281,0,0,1069.679719
Aberlour 12,80,3,SM,86219.46056,4594.956833,261.8758413,348.5750585,462.7798673,4640.365773,218.8667241,1549.487666,654.4921635,0,1429.592476
Aberlour 12,90,1,SM,81721.42995,4368.884804,159.4509966,220.272613,457.7934916,4467.227783,0,1101.01217,0,0,538.5207575
Aberlour 12,90,2,SM,82142.76828,4151.73895,96.74214717,266.1520576,272.3056064,4183.01238,0,1279.688714,631.1863269,0,362.5599291
Aberlour 12,90,3,SM,94771.57205,4325.54633,197.903655,524.4015548,526.9150624,4585.09867,0,2106.34487,924.1222565,0,452.5791701
Aberlour 12,100,1,SM,94326.64105,4025.619973,235.3441422,609.1319594,496.3957063,4004.886727,0,744.1600911,0,0,300.4160865
Aberlour 12,100,2,SM,108758.4892,4043.326591,245.4941065,676.6326225,624.4274781,4594.211949,71.15574483,1771.740507,1221.311413,0,0
Aberlour 12,100,3,SM,84031.0615,3803.871921,203.3300134,0,444.0161334,3969.703431,159.3349882,494.6029926,0,0,0
Basil Hayden's,50,1,BU,81933.71888,237459.855,2502.048895,18366.28556,9239.088934,9134.734942,0,911.5374541,2357.970667,0,9469.019292
Basil Hayden's,50,2,BU,84036.9919,289924.8304,2867.304968,20974.51197,9942.35131,8758.350106,0,775.4299831,1698.989064,47.57915276,8660.43043
Basil Hayden's,50,3,BU,82046.68665,244627.7357,2966.558252,21206.35599,10101.53742,10674.86492,427.0926308,1745.723972,3641.287826,0,10558.80343
Basil Hayden's,60,1,BU,70361.17495,87972.95289,1839.431073,14807.81522,6791.020783,6680.66853,408.4445594,1127.03352,2513.962094,40.42910164,11307.26873
Basil Hayden's,60,2,BU,78943.47471,185385.6558,1860.371533,15110.20657,6990.736701,6408.832413,0,601.2553213,2143.247229,0,8242.402305
Basil Hayden's,60,3,BU,74254.46057,92855.95488,1882.279244,15153.52097,7095.836966,6270.690368,236.4733458,883.7179706,2385.198034,37.35314475,8904.75999
Basil Hayden's,70,1,BU,71529.46329,212856.751,3462.080372,25449.64972,11724.95744,8956.728017,802.9165376,1196.599369,1733.686875,0,3948.891356
Basil Hayden's,70,2,BU,132528.8427,263182.1826,3879.844142,18402.41623,8459.325772,11032.48385,0,2437.635518,2255.982953,83.75485428,5145.251906
Basil Hayden's,70,3,BU,66259.16815,185498.1589,3869.14551,26337.31659,12917.19809,8913.888027,608.3273612,893.0715471,1700.008242,0,8212.691058
Basil Hayden's,80,1,BU,100551.2326,422352.3175,5150.248655,29907.57386,11890.69796,8485.24129,910.5128725,1494.09077,2000.886385,24.77609157,4045.22793
Basil Hayden's,80,2,BU,99017.43265,528722.51,4955.697525,31026.33611,18075.01434,7515.353649,0,2245.290611,1501.535389,0,3641.087849
Basil Hayden's,80,3,BU,80456.82502,262999.7035,4757.599854,32850.47256,16904.00734,8306.699337,1231.547591,1631.308453,1587.104868,31.63728141,3743.340963
Basil Hayden's,90,1,BU,75509.05598,301249.0167,5513.124098,34482.60669,18212.15361,7702.734931,1207.216289,1710.052628,2092.899792,11.86251164,936.9420932
